,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
66,1,object_02,object_05,871.59,1,2,732.06,0.6666666666666666,1,object_03,1,840,0,6,4,desert_1,1,memory-2step-stake-s,554,1520106,0.0-18.0-0.0-0.66,1846,2,1
67,4,object_08,object_09,1222.975,8,2,925.65,0.5555555555555556,2,object_04,5,865,0,9,5,restaurant_5,1,memory-2step-stake-s,555,1528785,0.0-18.0-0.0-0.67,1846,7,8
68,1,object_05,object_02,846.185,1,1,847.87,0.5555555555555556,1,object_03,1,870,0,5,8,desert_2,1,memory-2step-stake-s,556,1537365,0.0-18.0-0.0-0.68,1846,1,2
69,4,object_09,object_08,791.725,8,1,522.295,0.8888888888888888,2,object_04,5,910,0,4,8,restaurant_26,1,memory-2step-stake-s,557,1545940,0.0-18.0-0.0-0.69,1846,8,7
70,1,object_02,object_05,777.725,1,2,658.58,0.2222222222222222,1,object_03,5,920,0,2,8,desert_9,1,memory-2step-stake-s,558,1554034,0.0-18.0-0.0-0.70,1846,2,1
71,4,object_09,object_08,1044.465,7,2,844.01,0.3333333333333333,1,object_03,5,935,0,3,8,restaurant_24,1,memory-2step-stake-s,559,1562416,0.0-18.0-0.0-0.71,1846,8,7
72,2,object_10,object_07,980.26,3,2,765.56,0.5555555555555556,1,object_03,1,940,0,5,9,forest_3,1,memory-2step-stake-s,560,1570921,0.0-18.0-0.0-0.72,1846,4,3
73,2,object_10,object_07,960.735,3,2,755.48,0.7777777777777778,1,object_03,1,947,0,7,8,forest_18,1,memory-2step-stake-s,561,1579624,0.0-18.0-0.0-0.73,1846,4,3
74,2,object_10,object_07,838.7,3,2,875.96,0.6666666666666666,1,object_03,1,953,0,6,9,forest_7,1,memory-2step-stake-s,562,1588345,0.0-18.0-0.0-0.74,1846,4,3
75,3,object_01,object_06,939.515,5,2,740.04,0.3333333333333333,1,object_03,5,968,0,3,8,library_27,1,memory-2step-stake-s,563,1596634,0.0-18.0-0.0-0.75,1846,6,5
76,3,object_06,object_01,969.025,5,1,702.025,0.3333333333333333,1,object_03,5,983,0,3,6,library_17,1,memory-2step-stake-s,564,1604881,0.0-18.0-0.0-0.76,1846,5,6
77,1,object_02,object_05,944.23,2,1,515.425,0.7777777777777778,2,object_04,5,1018,0,2,7,desert_32,1,memory-2step-stake-s,565,1613365,0.0-18.0-0.0-0.77,1846,2,1
78,4,object_08,object_09,590.66,8,2,467.605,0.8888888888888888,2,object_04,1,1026,0,3,8,restaurant_19,1,memory-2step-stake-s,566,1621895,0.0-18.0-0.0-0.78,1846,7,8
79,1,object_02,object_05,870.87,2,1,729.965,0.8888888888888888,2,object_04,1,1034,0,3,8,desert_17,1,memory-2step-stake-s,567,1630680,0.0-18.0-0.0-0.79,1846,2,1
80,1,object_02,object_05,808.655,2,1,664.985,0.6666666666666666,2,object_04,1,1040,0,7,6,desert_10,1,memory-2step-stake-s,568,1639189,0.0-18.0-0.0-0.80,1846,2,1
81,4,object_09,object_08,628.78,8,1,447.475,0.5555555555555556,2,object_04,1,1045,0,7,5,restaurant_19,1,memory-2step-stake-s,569,1647394,0.0-18.0-0.0-0.81,1846,8,7
82,1,object_02,object_05,703.5,1,2,609.32,1.0,1,object_03,1,1054,0,9,9,desert_28,1,memory-2step-stake-s,570,1656160,0.0-18.0-0.0-0.82,1846,2,1
83,1,object_02,object_05,780.96,1,2,639.645,0.7777777777777778,1,object_03,1,1061,0,7,9,desert_28,1,memory-2step-stake-s,571,1664753,0.0-18.0-0.0-0.83,1846,2,1
84,3,object_06,object_01,1017.585,5,1,929.36,1.0,1,object_03,1,1070,0,9,8,library_11,1,memory-2step-stake-s,572,1673845,0.0-18.0-0.0-0.84,1846,5,6
85,4,object_09,object_08,707.705,7,2,802.21,1.0,1,object_03,5,1115,0,9,7,restaurant_10,1,memory-2step-stake-s,573,1682800,0.0-18.0-0.0-0.85,1846,8,7
86,3,object_01,object_06,701.44,5,2,688.745,0.8888888888888888,1,object_03,5,1155,0,8,5,library_21,1,memory-2step-stake-s,574,1691531,0.0-18.0-0.0-0.86,1846,6,5
